Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
1	2530	12.210559012735867	0	0.0000000	0.0000000	0.0000000
2	2748	11.935877785524934	0	0.0000000	0.0000000	0.0000000
3	2491	11.728198156102664	0	0.0000000	0.0000000	0.0000000
4	1947	11.019302002913850	1	0.2500000	0.1428571	0.1596970
5	2559	10.097618906188485	0	0.2000000	0.1428571	0.1403861
6	2897	9.962952988699424	1	0.3333333	0.2857143	0.2246073
7	1795	9.700481325500517	1	0.4285714	0.4285714	0.2887703
8	2495	9.634504699014345	1	0.5000000	0.5714286	0.3398865
9	2033	9.157707265986849	0	0.4444444	0.5714286	0.3182406
10	2856	8.677537871648642	0	0.4000000	0.5714286	0.3000086
11	2863	8.514163750885466	0	0.3636364	0.5714286	0.2843648
12	2680	8.450388039519961	0	0.3333333	0.5714286	0.2843648
13	1886	8.185110004741368	0	0.3076923	0.5714286	0.2843648
14	1807	8.139703590222423	1	0.3571429	0.7142857	0.3317441
15	2716	8.037547770262398	0	0.3333333	0.7142857	0.3317441
16	3080	8.020445908098628	0	0.3125000	0.7142857	0.3317441
17	2701	7.964293112095154	0	0.2941176	0.7142857	0.3317441
18	3005	7.913631252582458	0	0.2777778	0.7142857	0.3317441
19	2586	7.798817522438143	0	0.2631579	0.7142857	0.3317441
20	2537	7.747158829584810	0	0.2500000	0.7142857	0.3317441
21	2801	7.744654743942730	0	0.2380952	0.7142857	0.3317441
22	3129	7.728488461081736	0	0.2272727	0.7142857	0.3317441
23	3113	7.654359179735167	0	0.2173913	0.7142857	0.3317441
24	3033	7.564443749221637	0	0.2083333	0.7142857	0.3317441
25	1901	7.499297432513806	0	0.2000000	0.7142857	0.3317441
26	2834	7.473671835775222	0	0.1923077	0.7142857	0.3317441
27	1223	7.437298697224049	1	0.2222222	0.8571429	0.3696818
28	2944	7.324927160981361	0	0.2142857	0.8571429	0.3696818
29	2598	7.289372078616148	0	0.2068966	0.8571429	0.3696818
30	405	7.236359422388217	0	0.2000000	0.8571429	0.3696818
31	2648	7.195413135614096	0	0.1935484	0.8571429	0.3696818
32	3099	7.165324696110797	0	0.1875000	0.8571429	0.3696818
33	2929	7.131035343074324	0	0.1818182	0.8571429	0.3696818
34	2904	6.793028344835244	0	0.1764706	0.8571429	0.3696818
35	1973	6.767716616165025	0	0.1714286	0.8571429	0.3696818
36	3054	6.756585226672906	0	0.1666667	0.8571429	0.3696818
37	3171	6.667410212456522	0	0.1621622	0.8571429	0.3696818
38	2816	6.619172454424042	0	0.1578947	0.8571429	0.3696818
39	3106	6.612924627968258	0	0.1538462	0.8571429	0.3696818
40	2819	6.555349466579782	0	0.1500000	0.8571429	0.3696818
41	1195	6.506615219189474	0	0.1463415	0.8571429	0.3696818
42	2885	6.392387880017631	0	0.1428571	0.8571429	0.3696818
43	3103	6.344613347875660	0	0.1395349	0.8571429	0.3696818
44	1542	6.320098801003794	0	0.1363636	0.8571429	0.3696818
45	2253	6.218643270273962	0	0.1333333	0.8571429	0.3696818
46	2623	6.173530983924731	0	0.1304348	0.8571429	0.3696818
47	2490	6.074379397567867	0	0.1276596	0.8571429	0.3696818
48	2855	6.024803045182075	0	0.1250000	0.8571429	0.3696818
49	124	5.896806087292264	0	0.1224490	0.8571429	0.3696818
50	1235	5.891655176446332	0	0.1200000	0.8571429	0.3696818
51	940	5.823173309631376	0	0.1176471	0.8571429	0.3696818
52	1552	5.797424354972836	0	0.1153846	0.8571429	0.3696818
53	1694	5.777526001960572	0	0.1132075	0.8571429	0.3696818
54	3057	5.673626001082209	0	0.1111111	0.8571429	0.3696818
55	3053	5.665801518454094	0	0.1090909	0.8571429	0.3696818
56	2220	5.643082272643527	0	0.1071429	0.8571429	0.3696818
57	867	5.613608357561400	0	0.1052632	0.8571429	0.3696818
58	2711	5.596512751862592	0	0.1034483	0.8571429	0.3696818
59	2858	5.581122139677371	0	0.1016949	0.8571429	0.3696818
60	2078	5.571662336630422	0	0.1000000	0.8571429	0.3696818
61	2745	5.551212479817301	0	0.0983607	0.8571429	0.3696818
62	2464	5.528542528770178	0	0.0967742	0.8571429	0.3696818
63	2423	5.525441325189894	0	0.0952381	0.8571429	0.3696818
64	1564	5.467233324842973	0	0.0937500	0.8571429	0.3696818
65	3072	5.355223447693024	0	0.0923077	0.8571429	0.3696818
66	2787	5.353861343718236	0	0.0909091	0.8571429	0.3696818
67	2389	5.320216243342222	0	0.0895522	0.8571429	0.3696818
68	1655	5.294160962871722	0	0.0882353	0.8571429	0.3696818
69	3074	5.287843784411292	0	0.0869565	0.8571429	0.3696818
70	1066	5.270541564603547	0	0.0857143	0.8571429	0.3696818
71	2185	5.250804627276956	0	0.0845070	0.8571429	0.3696818
72	1999	5.213358196752999	0	0.0833333	0.8571429	0.3696818
73	1566	5.209650412311614	0	0.0821918	0.8571429	0.3696818
74	2374	5.182887836040422	0	0.0810811	0.8571429	0.3696818
75	1231	5.173607091069798	1	0.0933333	1.0000000	0.3986422
76	3110	5.151903599661610	0	0.0921053	1.0000000	0.3986422
77	2651	5.060865261343393	0	0.0909091	1.0000000	0.3986422
78	1369	5.022497368040837	0	0.0897436	1.0000000	0.3986422
79	1389	4.966168312542391	0	0.0886076	1.0000000	0.3986422
80	2964	4.960546068697142	0	0.0875000	1.0000000	0.3986422
81	1362	4.952407597870181	0	0.0864198	1.0000000	0.3986422
82	849	4.940118901313768	0	0.0853659	1.0000000	0.3986422
83	48	4.920300617992070	0	0.0843373	1.0000000	0.3986422
84	1670	4.907954652313113	0	0.0833333	1.0000000	0.3986422
85	2346	4.885203990579143	0	0.0823529	1.0000000	0.3986422
86	1134	4.880914521093942	0	0.0813953	1.0000000	0.3986422
