Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
1	2714	6.518863892820776	1	1.0000000	0.1000000	1.0000000
2	2664	6.361193328239626	1	1.0000000	0.2000000	1.0000000
3	2973	6.358943029902417	1	1.0000000	0.3000000	1.0000000
4	2785	6.098958382932746	0	0.7500000	0.3000000	0.8403030
5	2685	5.992669482780828	0	0.6000000	0.3000000	0.7386919
6	2433	5.966053299737788	0	0.5000000	0.3000000	0.6663181
7	950	5.924532967885141	1	0.5714286	0.4000000	0.6939300
8	1262	5.837367235321383	0	0.5000000	0.4000000	0.6440572
9	2266	5.826888637979669	1	0.5555556	0.5000000	0.6667256
10	2700	5.742786818522712	0	0.5000000	0.5000000	0.6285289
11	2896	5.734134995939526	0	0.4545455	0.5000000	0.5957548
12	1158	5.690684095895541	0	0.4166667	0.5000000	0.5957548
13	3075	5.668283790375543	1	0.4615385	0.6000000	0.6445029
14	1828	5.664123880858041	0	0.4285714	0.6000000	0.6445029
15	3156	5.620738691215249	1	0.4666667	0.7000000	0.6906750
16	1601	5.528016712254266	1	0.5000000	0.8000000	0.7357724
17	1811	5.498893474073006	0	0.4705882	0.8000000	0.7357724
18	141	5.466124803833196	1	0.5000000	0.9000000	0.7790321
19	1302	5.371452115100625	0	0.4736842	0.9000000	0.7790321
20	392	5.371452115100625	0	0.4500000	0.9000000	0.7790321
21	1613	5.314277457434640	0	0.4285714	0.9000000	0.7790321
22	2182	5.191615674333436	0	0.4090909	0.9000000	0.7790321
23	2660	5.148522487448754	0	0.3913043	0.9000000	0.7790321
24	2557	5.102498609112697	0	0.3750000	0.9000000	0.7790321
25	1367	5.064447245630476	0	0.3600000	0.9000000	0.7790321
26	1795	4.983073777062326	0	0.3461538	0.9000000	0.7790321
27	1468	4.978990601388499	0	0.3333333	0.9000000	0.7790321
28	2401	4.948010109371624	0	0.3214286	0.9000000	0.7790321
29	2895	4.922871301137722	0	0.3103448	0.9000000	0.7790321
30	2952	4.827927446854279	0	0.3000000	0.9000000	0.7790321
31	2342	4.826592300376235	0	0.2903226	0.9000000	0.7790321
32	2851	4.709326108197897	0	0.2812500	0.9000000	0.7790321
33	2865	4.704774915593224	0	0.2727273	0.9000000	0.7790321
