Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
1	3127	14.404765586105469	1	1.0000000	0.2500000	1.0000000
2	2246	10.430033851501131	1	1.0000000	0.5000000	1.0000000
3	1930	8.589933060437984	0	0.6666667	0.5000000	0.7601875
4	3196	8.381982796821983	0	0.5000000	0.5000000	0.6387879
5	3068	5.508354856092458	0	0.4000000	0.5000000	0.5615444
6	2593	5.460499308417991	0	0.3333333	0.5000000	0.5615444
7	2740	5.343020348527187	0	0.2857143	0.5000000	0.5615444
8	2319	5.336626452865310	0	0.2500000	0.5000000	0.5615444
9	2379	5.189560999678649	0	0.2222222	0.5000000	0.5615444
10	1680	5.138557911555516	0	0.2000000	0.5000000	0.5615444
11	2629	5.058379875877375	1	0.2727273	0.7500000	0.6427057
12	1591	5.054557086251675	0	0.2500000	0.7500000	0.6427057
13	1462	5.008024632226972	0	0.2307692	0.7500000	0.6427057
14	1461	4.971087349183238	0	0.2142857	0.7500000	0.6427057
15	2632	4.933772211452728	0	0.2000000	0.7500000	0.6427057
16	2597	4.869002536357964	0	0.1875000	0.7500000	0.6427057
17	2735	4.833690024092856	0	0.1764706	0.7500000	0.6427057
18	2482	4.754621193124574	0	0.1666667	0.7500000	0.6427057
19	1236	4.749482962486368	0	0.1578947	0.7500000	0.6427057
20	2796	4.715008893588061	0	0.1500000	0.7500000	0.6427057
21	2424	4.714153921812834	0	0.1428571	0.7500000	0.6427057
22	1033	4.683888046705716	0	0.1363636	0.7500000	0.6427057
23	1755	4.635413330726430	0	0.1304348	0.7500000	0.6427057
24	1750	4.562782307764872	0	0.1250000	0.7500000	0.6427057
25	1472	4.557620222518619	0	0.1200000	0.7500000	0.6427057
26	2357	4.555950213978884	0	0.1153846	0.7500000	0.6427057
27	2541	4.553743345392590	0	0.1111111	0.7500000	0.6427057
28	2868	4.522006012028936	0	0.1071429	0.7500000	0.6427057
29	2317	4.482973819036097	0	0.1034483	0.7500000	0.6427057
30	2111	4.467231355530862	0	0.1000000	0.7500000	0.6427057
31	2920	4.445587652206751	0	0.0967742	0.7500000	0.6427057
32	2080	4.442129012839603	1	0.1250000	1.0000000	0.6988602
33	2867	4.433353680862928	0	0.1212121	1.0000000	0.6988602
34	1334	4.425718738755609	0	0.1176471	1.0000000	0.6988602
35	1534	4.392577100457602	0	0.1142857	1.0000000	0.6988602
36	1247	4.373088487921128	0	0.1111111	1.0000000	0.6988602
37	2840	4.369174440639496	0	0.1081081	1.0000000	0.6988602
38	1728	4.358606661313431	0	0.1052632	1.0000000	0.6988602
39	3025	4.346940775169382	0	0.1025641	1.0000000	0.6988602
40	2378	4.302768879583065	0	0.1000000	1.0000000	0.6988602
41	2064	4.284737508178781	0	0.0975610	1.0000000	0.6988602
42	1519	4.271204330853340	0	0.0952381	1.0000000	0.6988602
43	2153	4.260618183906038	0	0.0930233	1.0000000	0.6988602
44	2798	4.207300948753132	0	0.0909091	1.0000000	0.6988602
45	1657	4.203269377756126	0	0.0888889	1.0000000	0.6988602
46	2126	4.196266248851002	0	0.0869565	1.0000000	0.6988602
47	2372	4.188180710308234	0	0.0851064	1.0000000	0.6988602
48	1168	4.148315635123923	0	0.0833333	1.0000000	0.6988602
49	1766	4.142685017973253	0	0.0816327	1.0000000	0.6988602
50	2399	4.133803362771340	0	0.0800000	1.0000000	0.6988602
51	1752	4.130664841537127	0	0.0784314	1.0000000	0.6988602
52	2320	4.128089100777457	0	0.0769231	1.0000000	0.6988602
53	3089	4.096056893880900	0	0.0754717	1.0000000	0.6988602
54	585	4.093307232647463	0	0.0740741	1.0000000	0.6988602
55	972	4.093307232647463	0	0.0727273	1.0000000	0.6988602
56	1912	4.091747594203555	0	0.0714286	1.0000000	0.6988602
57	2069	4.083882754490783	0	0.0701754	1.0000000	0.6988602
58	322	4.077979530801342	0	0.0689655	1.0000000	0.6988602
59	2092	4.047563328570025	0	0.0677966	1.0000000	0.6988602
60	3174	4.023247564055803	0	0.0666667	1.0000000	0.6988602
61	1324	4.021641177847881	0	0.0655738	1.0000000	0.6988602
62	1902	3.994117779732060	0	0.0645161	1.0000000	0.6988602
63	1853	3.949906351656943	0	0.0634921	1.0000000	0.6988602
64	1264	3.948044159729268	0	0.0625000	1.0000000	0.6988602
65	1747	3.944065993155712	0	0.0615385	1.0000000	0.6988602
